host,port,fingerprint_sha256,subject_cn,issuer_cn,not_before,not_after
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
192.99.37.149,50002,f13aba679cacded291e7e4c3f8f2f69bc6aba72ba041fe6d6b897c42a6f12df1,,,,
15.184.160.64,50002,5d390c63b6ae24d60573f2cccf79af7af5fedb872bb1750246f13e48531994e3,,,,
135.181.31.178,50002,3a1ba913408a304cd43864727ef784be732f36782efa5639ae89f5f4feeb7b19,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
128.140.49.4,50002,f54e232a1cb03d01bd8c47def7c7e0670e3ae0fd8d7f84b309d923e49ef8addd,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
116.255.5.183,50002,89feec28ceeee5577733bb134588043b010bb046ad19bc0eda221a4ba1fb6162,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
135.181.31.178,50002,3a1ba913408a304cd43864727ef784be732f36782efa5639ae89f5f4feeb7b19,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
52.1.56.181,50002,e2bb95bc78e7ee3b867e141025c59cda7627ba0caee4462d25c9b81d4525f138,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
15.184.160.64,50002,5d390c63b6ae24d60573f2cccf79af7af5fedb872bb1750246f13e48531994e3,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
135.181.31.178,50002,3a1ba913408a304cd43864727ef784be732f36782efa5639ae89f5f4feeb7b19,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
15.184.160.64,50002,5d390c63b6ae24d60573f2cccf79af7af5fedb872bb1750246f13e48531994e3,,,,
52.1.56.181,50002,e2bb95bc78e7ee3b867e141025c59cda7627ba0caee4462d25c9b81d4525f138,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
128.140.49.4,50002,f54e232a1cb03d01bd8c47def7c7e0670e3ae0fd8d7f84b309d923e49ef8addd,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
15.184.160.64,50002,5d390c63b6ae24d60573f2cccf79af7af5fedb872bb1750246f13e48531994e3,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
116.255.5.183,50002,89feec28ceeee5577733bb134588043b010bb046ad19bc0eda221a4ba1fb6162,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
135.181.31.178,50002,3a1ba913408a304cd43864727ef784be732f36782efa5639ae89f5f4feeb7b19,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
135.181.31.178,50002,3a1ba913408a304cd43864727ef784be732f36782efa5639ae89f5f4feeb7b19,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
15.184.160.64,50002,5d390c63b6ae24d60573f2cccf79af7af5fedb872bb1750246f13e48531994e3,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
128.140.49.4,50002,f54e232a1cb03d01bd8c47def7c7e0670e3ae0fd8d7f84b309d923e49ef8addd,,,,
116.255.5.183,50002,89feec28ceeee5577733bb134588043b010bb046ad19bc0eda221a4ba1fb6162,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
192.99.37.149,50002,f13aba679cacded291e7e4c3f8f2f69bc6aba72ba041fe6d6b897c42a6f12df1,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
135.181.31.178,50002,3a1ba913408a304cd43864727ef784be732f36782efa5639ae89f5f4feeb7b19,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
128.140.49.4,50002,f54e232a1cb03d01bd8c47def7c7e0670e3ae0fd8d7f84b309d923e49ef8addd,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
192.95.33.19,50002,b1858c238d7807473a42bf176f8d4f4bde0f54062dde0edb7e1b73d00ed61209,,,,
15.184.160.64,50002,5d390c63b6ae24d60573f2cccf79af7af5fedb872bb1750246f13e48531994e3,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
52.1.56.181,50002,e2bb95bc78e7ee3b867e141025c59cda7627ba0caee4462d25c9b81d4525f138,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
116.255.5.183,50002,89feec28ceeee5577733bb134588043b010bb046ad19bc0eda221a4ba1fb6162,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
96.237.231.17,50002,95d963759314f5de261d57461e0a56c525335f8c30b3fd6e88a61d86a0d507da,,,,
159.69.244.130,50002,bbe2e1476d83214774348e5271ed90a3ab231529da58f59c0163f4c754b8866d,,,,
116.202.30.237,50002,781ec94f780af0756b7399081330d8cf07a84ee5d679da4a591c0a005596a9bc,,,,
93.57.81.163,50002,7c54205d81ed9c0d8ffcbc360a850568b5cb05e52f33e71b9e39749d64e6dcc2,,,,
135.181.31.178,50002,3a1ba913408a304cd43864727ef784be732f36782efa5639ae89f5f4feeb7b19,,,,
49.12.38.161,50002,5e091f10cc0ac06906d52f2d85b4b5129fa752b4f3d5e0b179ce739d6298032d,,,,
65.109.168.25,50002,833ddc713745677933a6b084fd4ac2948adc68934963aa7512e0f0d8acdabffc,,,,
3.83.58.39,50002,907d6680dd93f25ae85b4ae6fbfbb2a407d8062c39e7601946a35a6608582dbe,,,,
159.69.189.9,50002,4cf434348c2023c96f04778b9bd20defa95730d67fea18e43f3661070eb7f11c,,,,
148.251.87.112,50002,3db18013afc2e9676ccd904a27ca7bec05f6bce9d802ce6df0538e97f79bb084,,,,
192.99.37.149,50002,f13aba679cacded291e7e4c3f8f2f69bc6aba72ba041fe6d6b897c42a6f12df1,,,,
128.140.49.4,50002,f54e232a1cb03d01bd8c47def7c7e0670e3ae0fd8d7f84b309d923e49ef8addd,,,,
116.255.5.183,50002,89feec28ceeee5577733bb134588043b010bb046ad19bc0eda221a4ba1fb6162,,,,
52.1.56.181,50002,e2bb95bc78e7ee3b867e141025c59cda7627ba0caee4462d25c9b81d4525f138,,,,
192.95.33.19,50002,b1858c238d7807473a42bf176f8d4f4bde0f54062dde0edb7e1b73d00ed61209,,,,
23.176.184.72,50002,11768f4877f4f404efd5acbc1402a55a1ee41f77158e3de6bde2675aa9f05567,,,,
86.206.48.92,50002,849e4b207d3f5e448195fdcd94c8fab3e2b7647de946441b29fbc99a344517a7,,,,
91.107.207.117,50002,4debe63d9fed439a83cf56b9a730bd784c6d73c8e7f3e72cbd18a33bbcd99e22,,,,
15.184.160.64,50002,5d390c63b6ae24d60573f2cccf79af7af5fedb872bb1750246f13e48531994e3,,,,
